Date (StatewiseTestingDetails.csv),State (StatewiseTestingDetails.csv),Negative,Positive,Total Samples
09-11-2020,Chandigarh,100898,,116839
10-11-2020,Chandigarh,102243,,118279
11-11-2020,Chandigarh,103499,,119635
12-11-2020,Chandigarh,104431,,120681
13-11-2020,Chandigarh,105136,,121484
15-11-2020,Chandigarh,105664,,122189
16-11-2020,Chandigarh,106714,,123326
17-11-2020,Chandigarh,107986,,124741
18-11-2020,Chandigarh,109943,,126852
19-11-2020,Chandigarh,111487,,128558
20-11-2020,Chandigarh,112844,,130070
21-11-2020,Chandigarh,113928,,131280
22-11-2020,Chandigarh,114651,,132090
23-11-2020,Chandigarh,115935,,133478
24-11-2020,Chandigarh,116658,,134281
25-11-2020,Chandigarh,118166,,135876
26-11-2020,Chandigarh,119600,,137442
27-11-2020,Chandigarh,122777,,140730
29-11-2020,Chandigarh,123467,,141616
30-11-2020,Chandigarh,124109,,142326
01-12-2020,Chandigarh,125856,,144204
02-12-2020,Chandigarh,127500,,145958
03-12-2020,Chandigarh,128934,,147467
04-12-2020,Chandigarh,130367,,149019
05-12-2020,Chandigarh,131651,,150409
06-12-2020,Chandigarh,132612,,151473
07-12-2020,Chandigarh,133852,,152801
08-12-2020,Chandigarh,135138,,154396
09-12-2020,Chandigarh,136480,,155643
10-12-2020,Chandigarh,137802,,157056
11-12-2020,Chandigarh,139166,,158516
12-12-2020,Chandigarh,140360,,159784
13-12-2020,Chandigarh,141106,,160600
14-12-2020,Chandigarh,142236,,161810
15-12-2020,Chandigarh,143354,,162991
16-12-2020,Chandigarh,144548,,164254
17-12-2020,Chandigarh,145646,,165414
18-12-2020,Chandigarh,146655,,166499
19-12-2020,Chandigarh,147795,,167704
20-12-2020,Chandigarh,148296,,168234
21-12-2020,Chandigarh,149492,,169489
22-12-2020,Chandigarh,150787,,170841
23-12-2020,Chandigarh,152240,,172379
24-12-2020,Chandigarh,153276,,173459
25-12-2020,Chandigarh,154176,,174395
26-12-2020,Chandigarh,155311,,175611
27-12-2020,Chandigarh,155970,,176337
28-12-2020,Chandigarh,156995,,177441
29-12-2020,Chandigarh,158179,,178691
30-12-2020,Chandigarh,159429,,180014
31-12-2020,Chandigarh,160534,,181186
01-01-2021,Chandigarh,161358,,182063
02-01-2021,Chandigarh,162317,,183091
03-01-2021,Chandigarh,162803,,183594
04-01-2021,Chandigarh,163994,,184844
05-01-2021,Chandigarh,165457,,186419
06-01-2021,Chandigarh,166855,,187897
07-01-2021,Chandigarh,168231,,189318
08-01-2021,Chandigarh,169415,,190556
09-01-2021,Chandigarh,170482,,191673
10-01-2021,Chandigarh,171141,,192376
12-01-2021,Chandigarh,173583,,194901
13-01-2021,Chandigarh,174856,,196211
14-01-2021,Chandigarh,175903,,197283
15-01-2021,Chandigarh,177003,,198409
16-01-2021,Chandigarh,178093,,199538
17-01-2021,Chandigarh,178766,,200245
18-01-2021,Chandigarh,179867,,201373
19-01-2021,Chandigarh,180897,,202434
20-01-2021,Chandigarh,181710,,203275
21-01-2021,Chandigarh,182724,,204305
22-01-2021,Chandigarh,184208,,205814
23-01-2021,Chandigarh,185419,,207047
24-01-2021,Chandigarh,186447,,208107
26-01-2021,Chandigarh,,,210111
27-01-2021,Chandigarh,189699,,211460
28-01-2021,Chandigarh,191118,,212915
29-01-2021,Chandigarh,192278,,214102
30-01-2021,Chandigarh,193401,,215242
31-01-2021,Chandigarh,194378,,216246
01-02-2021,Chandigarh,195710,,217610
02-02-2021,Chandigarh,197019,,218941
03-02-2021,Chandigarh,198343,,220301
07-02-2021,Chandigarh,203192,,225242
08-02-2021,Chandigarh,204427,,226503
10-02-2021,Chandigarh,206859,,228973
11-02-2021,Chandigarh,208291,,230418
12-02-2021,Chandigarh,209506,,231652
13-02-2021,Chandigarh,210904,,233067
14-02-2021,Chandigarh,211888,,234069
15-02-2021,Chandigarh,213096,,235303
16-02-2021,Chandigarh,214491,,236728
17-02-2021,Chandigarh,215781,,238048
18-02-2021,Chandigarh,217351,,239648
19-02-2021,Chandigarh,218619,,240935
20-02-2021,Chandigarh,219960,,242302
21-02-2021,Chandigarh,221056,,243429
22-02-2021,Chandigarh,222545,,244956
23-02-2021,Chandigarh,224258,,246706
24-02-2021,Chandigarh,225895,,248384
25-02-2021,Chandigarh,227592,,250130
26-02-2021,Chandigarh,229413,,252022
27-02-2021,Chandigarh,230669,,253339
28-02-2021,Chandigarh,231712,,254433
01-03-2021,Chandigarh,233566,,256362
02-03-2021,Chandigarh,235319,,258184
03-03-2021,Chandigarh,236870,,259793
04-03-2021,Chandigarh,238605,,261609
05-03-2021,Chandigarh,240330,,263410
06-03-2021,Chandigarh,242276,,265479
07-03-2021,Chandigarh,243399,,266685
08-03-2021,Chandigarh,245027,,268392
09-03-2021,Chandigarh,246880,,270350
10-03-2021,Chandigarh,248501,,272059
11-03-2021,Chandigarh,249733,,273400
12-03-2021,Chandigarh,251187,,274991
13-03-2021,Chandigarh,252953,,276905
14-03-2021,Chandigarh,254318,,278390
15-03-2021,Chandigarh,255961,,280183
16-03-2021,Chandigarh,257788,,282157
17-03-2021,Chandigarh,259816,,284386
18-03-2021,Chandigarh,261398,,286187
19-03-2021,Chandigarh,262938,,287941
20-03-2021,Chandigarh,264748,,289955
21-03-2021,Chandigarh,266727,,292183
22-03-2021,Chandigarh,268359,,294023
23-03-2021,Chandigarh,270196,,296079
24-03-2021,Chandigarh,271952,,298087
25-03-2021,Chandigarh,273740,,300105
26-03-2021,Chandigarh,275427,,302049
27-03-2021,Chandigarh,277045,,303963
28-03-2021,Chandigarh,279003,,306217
29-03-2021,Chandigarh,280594,,308086
30-03-2021,Chandigarh,282078,,309840
31-03-2021,Chandigarh,283876,,311905
01-04-2021,Chandigarh,285648,,313935
02-04-2021,Chandigarh,287463,,316037
03-04-2021,Chandigarh,289564,,318451
04-04-2021,Chandigarh,291960,,321189
05-04-2021,Chandigarh,293776,,323293
06-04-2021,Chandigarh,295815,,325654
07-04-2021,Chandigarh,298528,,328766
08-04-2021,Chandigarh,300725,,331288
09-04-2021,Chandigarh,303559,,334548
10-04-2021,Chandigarh,306276,,337663
11-04-2021,Chandigarh,309055,,340849
12-04-2021,Chandigarh,311760,,343981
13-04-2021,Chandigarh,314145,,346766
14-04-2021,Chandigarh,316806,,349851
15-04-2021,Chandigarh,319357,,352815
16-04-2021,Chandigarh,321895,,355840
17-04-2021,Chandigarh,324486,,358856
18-04-2021,Chandigarh,327401,,362406
19-04-2021,Chandigarh,329794,,365412
20-04-2021,Chandigarh,332216,,368438
21-04-2021,Chandigarh,334563,,371408
22-04-2021,Chandigarh,336913,,374392
23-04-2021,Chandigarh,340146,,378454
24-04-2021,Chandigarh,343106,,382125
25-04-2021,Chandigarh,346154,,385925
26-04-2021,Chandigarh,349235,,389827
27-04-2021,Chandigarh,352598,,394029
28-04-2021,Chandigarh,355384,,397590
29-04-2021,Chandigarh,358403,,401411
30-04-2021,Chandigarh,360875,,404615
01-05-2021,Chandigarh,363939,,408487
02-05-2021,Chandigarh,367088,,412497
03-05-2021,Chandigarh,370101,,416408
04-05-2021,Chandigarh,372510,,419601
05-05-2021,Chandigarh,375400,,423313
06-05-2021,Chandigarh,377550,,426227
07-05-2021,Chandigarh,380551,,430125
08-05-2021,Chandigarh,383480,,433928
09-05-2021,Chandigarh,386521,,437869
10-05-2021,Chandigarh,389411,,441625
11-05-2021,Chandigarh,391453,,444454
12-05-2021,Chandigarh,394118,,447896
13-05-2021,Chandigarh,396911,,451453
14-05-2021,Chandigarh,399617,,454814
15-05-2021,Chandigarh,402365,,458231
16-05-2021,Chandigarh,405289,,461826
17-05-2021,Chandigarh,408024,,465181
18-05-2021,Chandigarh,410333,,468017
19-05-2021,Chandigarh,412862,,470962
20-05-2021,Chandigarh,415650,,474170
21-05-2021,Chandigarh,418558,,477484
22-05-2021,Chandigarh,422124,,481446
23-05-2021,Chandigarh,425404,,485087
24-05-2021,Chandigarh,428251,,488182
25-05-2021,Chandigarh,430958,,491148
26-05-2021,Chandigarh,433534,,493948
27-05-2021,Chandigarh,435973,,496588
28-05-2021,Chandigarh,438778,,499561
29-05-2021,Chandigarh,441690,,502637
30-05-2021,Chandigarh,444767,,505899
31-05-2021,Chandigarh,447211,,508469
01-06-2021,Chandigarh,449335,,510724
02-06-2021,Chandigarh,452047,,513554
03-06-2021,Chandigarh,454706,,516329
04-06-2021,Chandigarh,457218,,518931
05-06-2021,Chandigarh,459904,,521716
06-06-2021,Chandigarh,461989,,523880
07-06-2021,Chandigarh,463603,,525544
08-06-2021,Chandigarh,465989,,528002
09-06-2021,Chandigarh,468382,,530483
10-06-2021,Chandigarh,470876,,533043
11-06-2021,Chandigarh,472937,,535174
12-06-2021,Chandigarh,475286,,537582
13-06-2021,Chandigarh,477000,,539353
14-06-2021,Chandigarh,478513,,540918
15-06-2021,Chandigarh,480077,,542526
16-06-2021,Chandigarh,481819,,544309
17-06-2021,Chandigarh,483822,,546381
18-06-2021,Chandigarh,485749,,548086
19-06-2021,Chandigarh,487151,,549803
20-06-2021,Chandigarh,488898,,551578
21-06-2021,Chandigarh,490057,,552751
22-06-2021,Chandigarh,491447,,554164
23-06-2021,Chandigarh,493012,,555785
24-06-2021,Chandigarh,494677,,557472
25-06-2021,Chandigarh,496656,,559491
26-06-2021,Chandigarh,498203,,561064
27-06-2021,Chandigarh,499545,,562427
28-06-2021,Chandigarh,501131,,564021
29-06-2021,Chandigarh,502507,,565421
30-06-2021,Chandigarh,504242,,567172
01-07-2021,Chandigarh,505907,,568854
02-07-2021,Chandigarh,507577,,570537
03-07-2021,Chandigarh,509209,,572187
04-07-2021,Chandigarh,510452,,573440
05-07-2021,Chandigarh,511941,,574942
06-07-2021,Chandigarh,513444,,576457
07-07-2021,Chandigarh,514823,,577866
08-07-2021,Chandigarh,516486,,579549
09-07-2021,Chandigarh,518145,,581225
11-07-2021,Chandigarh,521626,,584729
12-07-2021,Chandigarh,523219,,586332
13-07-2021,Chandigarh,524522,,587638
14-07-2021,Chandigarh,526216,,589344
15-07-2021,Chandigarh,527715,,590851
16-07-2021,Chandigarh,529113,,592255
17-07-2021,Chandigarh,530724,,593875
18-07-2021,Chandigarh,532278,,595449
19-07-2021,Chandigarh,533471,,596646
20-07-2021,Chandigarh,534877,,598067
21-07-2021,Chandigarh,536421,,599618
22-07-2021,Chandigarh,537408,,600610
23-07-2021,Chandigarh,538798,,602003
24-07-2021,Chandigarh,540266,,603476
25-07-2021,Chandigarh,541554,,604769
26-07-2021,Chandigarh,542990,,606209
27-07-2021,Chandigarh,544403,,607629
28-07-2021,Chandigarh,546027,,609259
29-07-2021,Chandigarh,547631,,610869
30-07-2021,Chandigarh,549199,,612441
31-07-2021,Chandigarh,550648,,613891
01-08-2021,Chandigarh,551999,,615248
02-08-2021,Chandigarh,553162,,616417
03-08-2021,Chandigarh,554635,,617897
04-08-2021,Chandigarh,556123,,619395
05-08-2021,Chandigarh,557678,,620952
06-08-2021,Chandigarh,559472,,622750
07-08-2021,Chandigarh,561119,,624402
08-08-2021,Chandigarh,562638,,625926
09-08-2021,Chandigarh,563989,,627283
10-08-2021,Chandigarh,565758,,629060
02-04-2020,Chhattisgarh,921,9,1232
10-04-2020,Chhattisgarh,3322,18,3473
11-04-2020,Chhattisgarh,3503,18,3858
12-04-2020,Chhattisgarh,3856,31,3945
13-04-2020,Chhattisgarh,3969,31,4377
14-04-2020,Chhattisgarh,4319,33,4812
15-04-2020,Chhattisgarh,4878,33,5122
16-04-2020,Chhattisgarh,5168,33,5519
17-04-2020,Chhattisgarh,5484,36,5776
18-04-2020,Chhattisgarh,5484,36,5776
19-04-2020,Chhattisgarh,6086,36,6675
20-04-2020,Chhattisgarh,7029,36,7601
21-04-2020,Chhattisgarh,7555,36,8272
22-04-2020,Chhattisgarh,8296,36,9220
23-04-2020,Chhattisgarh,9206,36,10346
24-04-2020,Chhattisgarh,10213,36,11386
25-04-2020,Chhattisgarh,11168,37,12596
26-04-2020,Chhattisgarh,12406,37,13786
27-04-2020,Chhattisgarh,13882,37,14987
28-04-2020,Chhattisgarh,14953,38,15737
29-04-2020,Chhattisgarh,15658,38,16546
30-04-2020,Chhattisgarh,16602,40,17541
01-05-2020,Chhattisgarh,17199,43,18039
03-05-2020,Chhattisgarh,18848,57,19902
05-05-2020,Chhattisgarh,20300,58,21323
06-05-2020,Chhattisgarh,20873,59,22188
08-05-2020,Chhattisgarh,22509,59,23629
09-05-2020,Chhattisgarh,23326,59,24506
10-05-2020,Chhattisgarh,24186,59,25282
12-05-2020,Chhattisgarh,25741,59,27339
13-05-2020,Chhattisgarh,27012,59,28837
14-05-2020,Chhattisgarh,28234,59,29697
15-05-2020,Chhattisgarh,29812,66,31341
16-05-2020,Chhattisgarh,31275,67,32678
18-05-2020,Chhattisgarh,34656,93,36606
19-05-2020,Chhattisgarh,36586,100,39010
21-05-2020,Chhattisgarh,42618,128,45522
22-05-2020,Chhattisgarh,45022,172,48116
23-05-2020,Chhattisgarh,46894,214,49763
25-05-2020,Chhattisgarh,52598,292,55022
26-05-2020,Chhattisgarh,55539,360,57479
27-05-2020,Chhattisgarh,57283,364,59320
28-05-2020,Chhattisgarh,59585,398,61771
29-05-2020,Chhattisgarh,62983,415,63992
30-05-2020,Chhattisgarh,64762,447,66417
31-05-2020,Chhattisgarh,67268,492,69152
01-06-2020,Chhattisgarh,69361,539,70726
02-06-2020,Chhattisgarh,71218,556,73198
03-06-2020,Chhattisgarh,73706,626,76446
04-06-2020,Chhattisgarh,75519,756,78971
05-06-2020,Chhattisgarh,78134,863,81773
06-06-2020,Chhattisgarh,80477,923,85346
07-06-2020,Chhattisgarh,84344,1073,88896
08-06-2020,Chhattisgarh,86719,1160,92598
09-06-2020,Chhattisgarh,89914,1211,93059
10-06-2020,Chhattisgarh,92049,1262,94576
11-06-2020,Chhattisgarh,93903,1398,96230
12-06-2020,Chhattisgarh,95965,1429,98603
13-06-2020,Chhattisgarh,,1512,101554
14-06-2020,Chhattisgarh,,1549,103895
15-06-2020,Chhattisgarh,,1715,107172
16-06-2020,Chhattisgarh,,1784,110062
17-06-2020,Chhattisgarh,,1864,113613
18-06-2020,Chhattisgarh,,1946,116329
19-06-2020,Chhattisgarh,115197,2018,120523
20-06-2020,Chhattisgarh,,2076,123983
21-06-2020,Chhattisgarh,121044,2273,126246
22-06-2020,Chhattisgarh,124679,2302,129731
23-06-2020,Chhattisgarh,127831,2356,133753
24-06-2020,Chhattisgarh,132332,2419,137400
25-06-2020,Chhattisgarh,,2456,142090
26-06-2020,Chhattisgarh,,2545,144828
27-06-2020,Chhattisgarh,,2602,152874
28-06-2020,Chhattisgarh,,2694,154526
29-06-2020,Chhattisgarh,,2761,156386
30-06-2020,Chhattisgarh,,2858,160650
01-07-2020,Chhattisgarh,,2940,163662
02-07-2020,Chhattisgarh,,3013,166656
03-07-2020,Chhattisgarh,,3065,177554
04-07-2020,Chhattisgarh,,3133,179782
05-07-2020,Chhattisgarh,,3207,182636
06-07-2020,Chhattisgarh,,3305,185399
07-07-2020,Chhattisgarh,,3415,189038
08-07-2020,Chhattisgarh,,3491,191938
09-07-2020,Chhattisgarh,,3679,196150
10-07-2020,Chhattisgarh,,3806,200006
11-07-2020,Chhattisgarh,,3897,204932
12-07-2020,Chhattisgarh,,4081,209864
13-07-2020,Chhattisgarh,,4265,213395
14-07-2020,Chhattisgarh,,4379,217433
15-07-2020,Chhattisgarh,,4556,222113
16-07-2020,Chhattisgarh,,4754,225913
17-07-2020,Chhattisgarh,,4976,232873
18-07-2020,Chhattisgarh,,5246,238890
19-07-2020,Chhattisgarh,,5407,244937
20-07-2020,Chhattisgarh,,5598,250016
21-07-2020,Chhattisgarh,,5731,254185
22-07-2020,Chhattisgarh,,5968,260227
23-07-2020,Chhattisgarh,,6254,268285
24-07-2020,Chhattisgarh,,6731,274660
25-07-2020,Chhattisgarh,,7087,280964
26-07-2020,Chhattisgarh,,7489,286291
27-07-2020,Chhattisgarh,,7863,292627
28-07-2020,Chhattisgarh,,8257,297481
29-07-2020,Chhattisgarh,,8515,302506
30-07-2020,Chhattisgarh,,8775,310696
31-07-2020,Chhattisgarh,,9086,316127
01-08-2020,Chhattisgarh,,9385,323692
02-08-2020,Chhattisgarh,,9608,331268
03-08-2020,Chhattisgarh,,9800,334709
04-08-2020,Chhattisgarh,,10109,340043
05-08-2020,Chhattisgarh,,10407,345250
06-08-2020,Chhattisgarh,,10932,352681
07-08-2020,Chhattisgarh,,11328,359857
08-08-2020,Chhattisgarh,,11743,366957
09-08-2020,Chhattisgarh,,12148,371706
10-08-2020,Chhattisgarh,,12502,381018
11-08-2020,Chhattisgarh,,12938,388852
12-08-2020,Chhattisgarh,,,394141
13-08-2020,Chhattisgarh,,13960,402390
14-08-2020,Chhattisgarh,,14481,409693
15-08-2020,Chhattisgarh,,14987,414328
16-08-2020,Chhattisgarh,,15471,419658
17-08-2020,Chhattisgarh,,15993,427209
18-08-2020,Chhattisgarh,,16726,436180
19-08-2020,Chhattisgarh,,17485,445420
20-08-2020,Chhattisgarh,,,455106
21-08-2020,Chhattisgarh,,19459,468099
22-08-2020,Chhattisgarh,,,477974
23-08-2020,Chhattisgarh,,,483989
24-08-2020,Chhattisgarh,,,494081
25-08-2020,Chhattisgarh,,,505193
26-08-2020,Chhattisgarh,,,519678
27-08-2020,Chhattisgarh,,,533691
28-08-2020,Chhattisgarh,,,548182
29-08-2020,Chhattisgarh,,,560273
30-08-2020,Chhattisgarh,,,571177
31-08-2020,Chhattisgarh,,,582540
01-09-2020,Chhattisgarh,,,596544
02-09-2020,Chhattisgarh,,,609578
03-09-2020,Chhattisgarh,,,615568
04-09-2020,Chhattisgarh,,,634702
05-09-2020,Chhattisgarh,,,653608
06-09-2020,Chhattisgarh,,,669541
07-09-2020,Chhattisgarh,,,681978
08-09-2020,Chhattisgarh,,,700529
09-09-2020,Chhattisgarh,,,719630
10-09-2020,Chhattisgarh,,,737334
11-09-2020,Chhattisgarh,,,756163
12-09-2020,Chhattisgarh,,,772134
13-09-2020,Chhattisgarh,,,784483
14-09-2020,Chhattisgarh,,,806045
15-09-2020,Chhattisgarh,,,827074
16-09-2020,Chhattisgarh,,,846663
17-09-2020,Chhattisgarh,,,872584
18-09-2020,Chhattisgarh,,,904770
19-09-2020,Chhattisgarh,,,918455
20-09-2020,Chhattisgarh,,,929701
21-09-2020,Chhattisgarh,,,942303
22-09-2020,Chhattisgarh,,,958452
23-09-2020,Chhattisgarh,,,982825
24-09-2020,Chhattisgarh,,,998347
25-09-2020,Chhattisgarh,,,1015613
26-09-2020,Chhattisgarh,,,1034460
27-09-2020,Chhattisgarh,,,1046534
28-09-2020,Chhattisgarh,,,1081521
29-09-2020,Chhattisgarh,,,1093348
30-09-2020,Chhattisgarh,,,1106612
01-10-2020,Chhattisgarh,,,1121641
02-10-2020,Chhattisgarh,,,1137384
03-10-2020,Chhattisgarh,,,1155975
04-10-2020,Chhattisgarh,,,1168578
05-10-2020,Chhattisgarh,,,1191097
06-10-2020,Chhattisgarh,,,1212678
07-10-2020,Chhattisgarh,,,1238699
08-10-2020,Chhattisgarh,,,1266497
09-10-2020,Chhattisgarh,,,1297381
10-10-2020,Chhattisgarh,,,1328665
11-10-2020,Chhattisgarh,,,1353822
12-10-2020,Chhattisgarh,,,1387386
13-10-2020,Chhattisgarh,,,1414068
14-10-2020,Chhattisgarh,,,1441607
15-10-2020,Chhattisgarh,,,1466334
16-10-2020,Chhattisgarh,,,1489424
17-10-2020,Chhattisgarh,,,1511088
18-10-2020,Chhattisgarh,,,1526356
19-10-2020,Chhattisgarh,,,1547704
20-10-2020,Chhattisgarh,,,1569496
21-10-2020,Chhattisgarh,,,1593040
22-10-2020,Chhattisgarh,,,1617726
23-10-2020,Chhattisgarh,,,1642977
24-10-2020,Chhattisgarh,,,1664735
25-10-2020,Chhattisgarh,,,1679649
26-10-2020,Chhattisgarh,,,1698096
27-10-2020,Chhattisgarh,,,1719929
28-10-2020,Chhattisgarh,,,1742743
29-10-2020,Chhattisgarh,,,1767270
30-10-2020,Chhattisgarh,,,1786685
31-10-2020,Chhattisgarh,,,1809446
01-11-2020,Chhattisgarh,,,1827425
02-11-2020,Chhattisgarh,,,1847925
03-11-2020,Chhattisgarh,,,1868995
04-11-2020,Chhattisgarh,,,1894622
05-11-2020,Chhattisgarh,,,1920238
06-11-2020,Chhattisgarh,,,1947137
07-11-2020,Chhattisgarh,,,1973211
08-11-2020,Chhattisgarh,,,1991002
09-11-2020,Chhattisgarh,,,2017019
10-11-2020,Chhattisgarh,,,2042649
11-11-2020,Chhattisgarh,,,2068640
12-11-2020,Chhattisgarh,,,2094950
13-11-2020,Chhattisgarh,,,2117987
14-11-2020,Chhattisgarh,,,2127134
15-11-2020,Chhattisgarh,,,2135139
16-11-2020,Chhattisgarh,,,2148223
17-11-2020,Chhattisgarh,,,2171629
18-11-2020,Chhattisgarh,,,2199344
19-11-2020,Chhattisgarh,,,2230922
20-11-2020,Chhattisgarh,,,2258546
21-11-2020,Chhattisgarh,,,2290759
22-11-2020,Chhattisgarh,,,2314369
23-11-2020,Chhattisgarh,,,2347120
24-11-2020,Chhattisgarh,,,2380169
25-11-2020,Chhattisgarh,,,2414011
26-11-2020,Chhattisgarh,,,2448167
27-11-2020,Chhattisgarh,,,2481567
28-11-2020,Chhattisgarh,,,2513159
29-11-2020,Chhattisgarh,,,2537122
30-11-2020,Chhattisgarh,,,2563606
01-12-2020,Chhattisgarh,,,2597019
02-12-2020,Chhattisgarh,,,2631183
03-12-2020,Chhattisgarh,,,2667761
04-12-2020,Chhattisgarh,,,2702320
05-12-2020,Chhattisgarh,,,2735766
06-12-2020,Chhattisgarh,,,2760290
07-12-2020,Chhattisgarh,,,2793936
08-12-2020,Chhattisgarh,,,2828098
09-12-2020,Chhattisgarh,,,2862281
10-12-2020,Chhattisgarh,,,2897495
11-12-2020,Chhattisgarh,,,2932206
12-12-2020,Chhattisgarh,,,2964566
13-12-2020,Chhattisgarh,,,2988862
14-12-2020,Chhattisgarh,,,3023151
15-12-2020,Chhattisgarh,,,3057999
16-12-2020,Chhattisgarh,,,3092705
17-12-2020,Chhattisgarh,,,3125971
18-12-2020,Chhattisgarh,,,3153217
19-12-2020,Chhattisgarh,,,3182118
20-12-2020,Chhattisgarh,,,3204491
21-12-2020,Chhattisgarh,,,3236897
22-12-2020,Chhattisgarh,,,3268679
23-12-2020,Chhattisgarh,,,3300858
24-12-2020,Chhattisgarh,,,3331915
25-12-2020,Chhattisgarh,,,3355323
26-12-2020,Chhattisgarh,,,3380053
27-12-2020,Chhattisgarh,,,3397715
28-12-2020,Chhattisgarh,,,3427215
29-12-2020,Chhattisgarh,,,3457186
30-12-2020,Chhattisgarh,,,3486017
31-12-2020,Chhattisgarh,,,3514707
01-01-2021,Chhattisgarh,,,3537635
02-01-2021,Chhattisgarh,,,3563181
03-01-2021,Chhattisgarh,,,3580200
04-01-2021,Chhattisgarh,,,3608969
05-01-2021,Chhattisgarh,,,3638225
06-01-2021,Chhattisgarh,,,3666495
07-01-2021,Chhattisgarh,,,3696394
08-01-2021,Chhattisgarh,,,3725189
09-01-2021,Chhattisgarh,,,3754106
10-01-2021,Chhattisgarh,,,3772966
11-01-2021,Chhattisgarh,,,3803079
12-01-2021,Chhattisgarh,,,3829787
13-01-2021,Chhattisgarh,,,3854525
14-01-2021,Chhattisgarh,,,3877768
15-01-2021,Chhattisgarh,,,3902112
16-01-2021,Chhattisgarh,,,3922535
17-01-2021,Chhattisgarh,,,3936682
18-01-2021,Chhattisgarh,,,3961253
19-01-2021,Chhattisgarh,,,3983112
20-01-2021,Chhattisgarh,,,4006513
21-01-2021,Chhattisgarh,,,4031552
22-01-2021,Chhattisgarh,,,4056025
23-01-2021,Chhattisgarh,,,4076430
24-01-2021,Chhattisgarh,,,4089900
25-01-2021,Chhattisgarh,,,4111523
26-01-2021,Chhattisgarh,,,4120423
27-01-2021,Chhattisgarh,,,4142971
28-01-2021,Chhattisgarh,,,4163045
29-01-2021,Chhattisgarh,,,4183581
30-01-2021,Chhattisgarh,,,4207188
31-01-2021,Chhattisgarh,,,4220304
01-02-2021,Chhattisgarh,,,4241595
02-02-2021,Chhattisgarh,,,4265378
03-02-2021,Chhattisgarh,,,4289431
04-02-2021,Chhattisgarh,,,4313849
05-02-2021,Chhattisgarh,,,4336764
06-02-2021,Chhattisgarh,,,4357998
07-02-2021,Chhattisgarh,,,4367871
08-02-2021,Chhattisgarh,,,4392639
09-02-2021,Chhattisgarh,,,4415825
10-02-2021,Chhattisgarh,,,4440663
11-02-2021,Chhattisgarh,,,4464255
12-02-2021,Chhattisgarh,,,4487821
13-02-2021,Chhattisgarh,,,4509169
14-02-2021,Chhattisgarh,,,4520503
15-02-2021,Chhattisgarh,,,4541913
16-02-2021,Chhattisgarh,,,4564098
17-02-2021,Chhattisgarh,,,4584157
18-02-2021,Chhattisgarh,,,4606097
19-02-2021,Chhattisgarh,,,4628049
20-02-2021,Chhattisgarh,,,4650091
21-02-2021,Chhattisgarh,,,4661484
22-02-2021,Chhattisgarh,,,4684828
23-02-2021,Chhattisgarh,,,4708872
24-02-2021,Chhattisgarh,,,4734574
25-02-2021,Chhattisgarh,,,4754502
26-02-2021,Chhattisgarh,,,4778537
27-02-2021,Chhattisgarh,,,4802023
28-02-2021,Chhattisgarh,,,4812273
01-03-2021,Chhattisgarh,,,4839358
02-03-2021,Chhattisgarh,,,4866032
03-03-2021,Chhattisgarh,,,4893327
04-03-2021,Chhattisgarh,,,4918996
05-03-2021,Chhattisgarh,,,4947113
06-03-2021,Chhattisgarh,,,4975419
07-03-2021,Chhattisgarh,,,4990336
08-03-2021,Chhattisgarh,,,5018746
09-03-2021,Chhattisgarh,,,5046027
10-03-2021,Chhattisgarh,,,5072555
11-03-2021,Chhattisgarh,,,5092247
12-03-2021,Chhattisgarh,,,5120883
13-03-2021,Chhattisgarh,,,5152986
14-03-2021,Chhattisgarh,,,5177770
15-03-2021,Chhattisgarh,,,5217833
16-03-2021,Chhattisgarh,,,5256686
17-03-2021,Chhattisgarh,,,5294064
18-03-2021,Chhattisgarh,,,5334347
19-03-2021,Chhattisgarh,,,5371774
20-03-2021,Chhattisgarh,,,5408167
21-03-2021,Chhattisgarh,,,5429721
22-03-2021,Chhattisgarh,,,5465654
23-03-2021,Chhattisgarh,,,5505273
24-03-2021,Chhattisgarh,,,5542288
25-03-2021,Chhattisgarh,,,5580898
26-03-2021,Chhattisgarh,,,5619273
27-03-2021,Chhattisgarh,,,5658850
28-03-2021,Chhattisgarh,,,5683536
29-03-2021,Chhattisgarh,,,5691819
30-03-2021,Chhattisgarh,,,5719388
31-03-2021,Chhattisgarh,,,5757808
01-04-2021,Chhattisgarh,,,5798665
02-04-2021,Chhattisgarh,,,5832740
03-04-2021,Chhattisgarh,,,5873615
04-04-2021,Chhattisgarh,,,5900526
05-04-2021,Chhattisgarh,,,5940579
06-04-2021,Chhattisgarh,,,5988552
07-04-2021,Chhattisgarh,,,6030841
08-04-2021,Chhattisgarh,,,6079584
09-04-2021,Chhattisgarh,,,6126295
10-04-2021,Chhattisgarh,,,6176451
11-04-2021,Chhattisgarh,,,6216629
12-04-2021,Chhattisgarh,,,6262626
13-04-2021,Chhattisgarh,,,6316419
14-04-2021,Chhattisgarh,,,6362947
15-04-2021,Chhattisgarh,,,6416401
16-04-2021,Chhattisgarh,,,6465985
17-04-2021,Chhattisgarh,,,6519901
18-04-2021,Chhattisgarh,,,6562553
19-04-2021,Chhattisgarh,,,6611226
20-04-2021,Chhattisgarh,,,6661925
21-04-2021,Chhattisgarh,,,6707690
22-04-2021,Chhattisgarh,,,6762690
